PM,global_season_score,count
2014TOR,0.0,20
2009OKC,0.0,20
2002DAL,0.2608695652173913,20
2025MIN,0.2608695652173913,20
2013BOS,0.0,20
2013MEM,0.30434782608695654,20
2001CLE,0.0,20
2001DAL,0.21739130434782608,20
2012GSW,0.0,20
1998POR,0.0,20
2019DET,0.0,20
2011SAS,0.0,20
2024SAS,0.0,20
2014CHI,0.0,20
2024SAC,0.0,20
2011HOU,0.0,20
2018BOS,0.43478260869565216,20
2019NOP,0.0,20
2024NOP,0.0,20
2010SAC,0.0,20
2019SAC,0.0,20
2010NYK,0.0,20
2014LAC,0.30434782608695654,20
2001TOR,0.21739130434782608,20
2010GSW,0.0,20
2009SAS,0.0,20
2020LAC,0.34782608695652173,20
2020LAL,1.0,20
2023SAC,0.0,20
2013HOU,0.0,20
2005ATL,0.0,20
2023ORL,0.0,20
2025UTA,0.0,20
2023PHO,0.2608695652173913,20
2023MIA,0.34782608695652173,20
2023IND,0.0,20
2023ATL,0.0,20
2023MIN,0.0,20
1997SAS,0.0,20
2005IND,0.0,20
2009CHI,0.0,19
2020ORL,0.0,19
2004PHO,0.0,19
2014LAL,0.0,19
2024MIN,0.391304347826087,19
2010MIL,0.0,19
2003TOR,0.0,19
2010LAC,0.0,19
2010CHA,0.0,19
2015BRK,0.0,19
2010BOS,0.5217391304347826,19
2014MIL,0.0,19
2025OKC,1.0,19
2023MEM,0.0,19
2009TOR,0.0,19
2020DAL,0.0,19
2020POR,0.0,19
2020PHO,0.0,19
2005CHA,0.0,19
2009LAC,0.0,19
2020PHI,0.0,19
2008SAC,0.0,19
2016MIA,0.30434782608695654,19
2014SAS,0.0,19
2006CHI,0.0,19
2004NJN,0.34782608695652173,19
2010POR,0.0,19
2008LAL,0.6521739130434783,19
2018ORL,0.0,19
2013CLE,0.0,19
2023CHO,0.0,19
2018MIA,0.0,19
2013MIN,0.0,19
2013NOH,0.0,19
2013NYK,0.34782608695652173,19
2004BOS,0.0,19
2000ORL,0.0,19
2019BRK,0.0,19
2012HOU,0.0,19
2018IND,0.0,19
2013WAS,0.0,19
2016WAS,0.0,19
2011PHO,0.0,19
2014BOS,0.0,19
1997IND,0.0,19
2011NOH,0.0,19
2017CHO,0.0,19
2014BRK,0.17391304347826086,19
2014CHA,0.0,19
2011MEM,0.08695652173913043,19
1997POR,0.0,19
2017DEN,0.0,19
2001NJN,0.0,19
2011DEN,0.0,19
2011CLE,0.0,19
2001PHI,0.6521739130434783,19
2011CHA,0.0,19
2008MEM,0.0,19
1997MIA,0.43478260869565216,19
2007ATL,0.0,19
2007IND,0.0,19
2021NYK,0.0,19
2016DEN,0.0,19
2017ORL,0.0,19
2006SEA,0.0,19
2017OKC,0.0,19
2002PHI,0.0,19
2017SAC,0.0,19
2002PHO,0.0,19
2021DAL,0.0,19
2021LAL,0.0,19
2024BOS,1.0,19
2024ATL,0.0,19
2015SAC,0.0,19
2007LAC,0.0,19
2015DAL,0.0,19
2008CHI,0.0,19
2006NYK,0.0,19
2006NOK,0.0,19
2008DET,0.43478260869565216,19
2006DEN,0.0,19
2025POR,0.0,19
2005NYK,0.0,19
2023OKC,0.0,19
2022HOU,0.0,19
2022CHO,0.0,19
2015MEM,0.21739130434782608,19
2017MIL,0.0,19
2011OKC,0.34782608695652173,18
2011POR,0.0,18
2006ORL,0.0,18
2014ATL,0.0,18
2008GSW,0.0,18
2006PHO,0.43478260869565216,18
2017PHO,0.0,18
1998DAL,0.0,18
2021UTA,0.391304347826087,18
2019MIA,0.0,18
1997HOU,0.391304347826087,18
1997CHH,0.0,18
2007CHA,0.0,18
2011DAL,0.9130434782608695,18
2021SAS,0.0,18
2024ORL,0.0,18
1999VAN,0.0,18
2016PHI,0.0,18
2019OKC,0.0,18
2004GSW,0.0,18
2023GSW,0.17391304347826086,18
2018DEN,0.0,18
2019DEN,0.0,18
1998CHH,0.2608695652173913,18
2025HOU,0.0,18
2013CHA,0.0,18
2023CHI,0.0,18
2013ATL,0.0,18
1999DET,0.0,18
1999PHI,0.17391304347826086,18
2017CHI,0.0,18
2012TOR,0.0,18
2013MIA,1.0,18
2018SAC,0.0,18
2012POR,0.0,18
2013MIL,0.0,18
2018TOR,0.391304347826087,18
1998BOS,0.0,18
2006BOS,0.0,18
2006LAC,0.17391304347826086,18
2025BOS,0.34782608695652173,18
2023CLE,0.0,18
2013ORL,0.0,18
2000PHI,0.21739130434782608,18
2012LAC,0.21739130434782608,18
2015POR,0.0,18
2023DEN,0.0,18
2001DEN,0.0,18
2006MIN,0.0,18
2013TOR,0.0,18
2007DEN,0.0,18
2023BOS,0.43478260869565216,18
2014GSW,0.0,18
2020TOR,0.34782608695652173,18
2014HOU,0.0,18
2017WAS,0.2608695652173913,18
2024CHI,0.0,18
2014NYK,0.0,18
2007PHI,0.0,18
2004UTA,0.0,18
2017HOU,0.30434782608695654,18
2021MEM,0.0,18
2009PHO,0.0,18
2015WAS,0.21739130434782608,18
2002ATL,0.0,18
2005PHO,0.4782608695652174,18
2023HOU,0.0,18
2016CLE,1.0,18
2002CHI,0.0,18
2014OKC,0.43478260869565216,18
2020OKC,0.0,18
2009MIA,0.0,18
2005ORL,0.0,18
2021GSW,0.0,18
1998MIA,0.0,18
2022MIN,0.0,18
2016LAC,0.0,18
1997BOS,0.0,18
2005MIL,0.0,18
2024GSW,0.0,18
2010CHI,0.0,18
2015LAL,0.0,18
2021ATL,0.30434782608695654,18
2016HOU,0.0,18
2019POR,0.391304347826087,18
2005SAC,0.0,18
2010OKC,0.0,18
2007MEM,0.0,18
2019UTA,0.0,18
2010CLE,0.391304347826087,18
2002IND,0.0,18
1998NJN,0.0,18
2014MEM,0.0,18
2005LAC,0.0,18
2005GSW,0.0,18
2020SAS,0.0,18
2014MIA,0.6086956521739131,18
2024CLE,0.2608695652173913,18
2010DAL,0.0,18
2017LAL,0.0,18
2000PHO,0.21739130434782608,17
2017MEM,0.0,17
2000DEN,0.0,17
1997ATL,0.2608695652173913,17
2014WAS,0.21739130434782608,17
2014UTA,0.0,17
2000DAL,0.0,17
2015CHO,0.0,17
2016MIL,0.0,17
2016DET,0.0,17
2016SAS,0.0,17
2017TOR,0.30434782608695654,17
2018CHO,0.0,17
2014IND,0.0,17
1999CLE,0.0,17
2016BRK,0.0,17
2016ORL,0.0,17
2016ATL,0.2608695652173913,17
2016OKC,0.391304347826087,17
2017GSW,1.0,17
2000CHH,0.0,17
2013PHI,0.0,17
1999CHH,0.0,17
2014MIN,0.0,17
2016UTA,0.0,17
2018GSW,0.9565217391304348,17
2000LAC,0.0,17
2013SAC,0.0,17
2025ORL,0.0,17
2000HOU,0.0,17
2015SAS,0.0,17
2016CHO,0.0,17
2003SEA,0.0,17
2018OKC,0.0,17
2002TOR,0.0,17
2006LAL,0.0,17
1998CHI,1.0,17
2006MIA,0.9565217391304348,17
2006NJN,0.30434782608695654,17
2006PHI,0.0,17
2006POR,0.0,17
2006TOR,0.0,17
1999PHO,0.0,17
2021POR,0.0,17
2021PHO,0.6086956521739131,17
2007MIL,0.0,17
2006CLE,0.2608695652173913,17
2002ORL,0.0,17
2007POR,0.0,17
2007TOR,0.0,17
2021CHO,0.0,17
2002MIA,0.0,17
2013BRK,0.0,17
2008DEN,0.0,17
2024DEN,0.0,17
1997MIL,0.0,17
2024HOU,0.0,17
2006DET,0.4782608695652174,17
2003BOS,0.17391304347826086,17
1999MIA,0.0,17
2004WAS,0.0,17
2004DET,0.9130434782608695,17
2004HOU,0.0,17
2003ORL,0.0,17
2004LAC,0.0,17
2004LAL,0.6086956521739131,17
2004MIA,0.2608695652173913,17
2004MIN,0.4782608695652174,17
1999ORL,0.0,17
2004SAS,0.0,17
1997ORL,0.0,17
2003MEM,0.0,17
2022GSW,0.9130434782608695,17
2023NOP,0.0,17
2005DEN,0.0,17
2005DET,0.6086956521739131,17
2023NYK,0.21739130434782608,17
2005MIA,0.4782608695652174,17
2003DAL,0.391304347826087,17
2005PHI,0.0,17
2005POR,0.0,17
2005SAS,0.0,17
2005UTA,0.0,17
2008TOR,0.0,17
2002MEM,0.0,17
2020NYK,0.0,17
2001DET,0.0,17
2011GSW,0.0,17
2011LAC,0.0,17
2011MIA,0.6086956521739131,17
2011MIL,0.0,17
2011MIN,0.0,17
2011ORL,0.0,17
2019IND,0.0,17
2011UTA,0.0,17
2019GSW,0.6521739130434783,17
2012BOS,0.34782608695652173,17
2019CHO,0.0,17
1997LAL,0.2608695652173913,17
2012DEN,0.0,17
2012LAL,0.30434782608695654,17
2012MEM,0.0,17
2019BOS,0.2608695652173913,17
2012MIL,0.0,17
2012NYK,0.0,17
1998SAC,0.0,17
2018SAS,0.0,17
2001BOS,0.0,17
2025DEN,0.0,17
2011ATL,0.21739130434782608,17
2010MEM,0.0,17
2009WAS,0.0,17
2009MIN,0.0,17
2019ORL,0.0,17
2020IND,0.0,17
2009HOU,0.21739130434782608,17
2020CHI,0.0,17
2009GSW,0.0,17
2009DEN,0.0,17
2020BOS,0.391304347826087,17
2009MIL,0.0,17
2020MIL,0.391304347826087,17
1999LAL,0.2608695652173913,17
2010NJN,0.0,17
2020NOP,0.0,17
2010SAS,0.0,17
1997DET,0.0,16
2018POR,0.0,16
1997SEA,0.34782608695652173,16
1998SEA,0.34782608695652173,16
2018MIN,0.0,16
1997PHI,0.0,16
1997SAC,0.0,16
1998CLE,0.0,16
2017IND,0.0,16
1998MIN,0.0,16
1998NYK,0.13043478260869565,16
1998DEN,0.0,16
2019SAS,0.0,16
1998VAN,0.0,16
1998DET,0.0,16
2017NYK,0.0,16
1998WAS,0.0,16
2017SAS,0.0,16
1998MIL,0.0,16
2017MIN,0.0,16
1997GSW,0.0,16
2021MIN,0.0,16
1997VAN,0.0,16
2020CHO,0.0,16
1998ATL,0.0,16
